ID: vg001  Título: Super Mario Bros.  Año: 1985  Compañía: Nintendo  Consola: NES  Puntuación: 9.8
ID: vg046  Título: Final Fantasy XV  Año: 2016  Compañía: Square Enix  Consola: PS4, Xbox One  Puntuación: 8.7
ID: vg047  Título: Assassin's Creed IV: Black Flag  Año: 2013  Compañía: Ubisoft  Consola: PS3, Xbox 360  Puntuación: 8.9
ID: vg048  Título: Far Cry 3  Año: 2012  Compañía: Ubisoft  Consola: PS3, Xbox 360  Puntuación: 9.0
ID: vg049  Título: Skyrim  Año: 2011  Compañía: Bethesda Game Studios  Consola: PS3, Xbox 360  Puntuación: 9.5
ID: vg050  Título: DOOM (2016)  Año: 2016  Compañía: id Software  Consola: PS4, Xbox One  Puntuación: 8.9
ID: vg051  Título: Rocket League  Año: 2015  Compañía: Psyonix  Consola: PS4, Xbox One  Puntuación: 9.0
ID: vg052  Título: Among Us  Año: 2018  Compañía: Innersloth  Consola: PC  Puntuación: 8.5
ID: vg053  Título: Valorant  Año: 2020  Compañía: Riot Games  Consola: PC  Puntuación: 8.9
ID: vg054  Título: League of Legends  Año: 2009  Compañía: Riot Games  Consola: PC  Puntuación: 9.0
ID: vg055  Título: Counter-Strike: Global Offensive  Año: 2012  Compañía: Valve  Consola: PC  Puntuación: 8.8
ID: vg056  Título: World of Warcraft  Año: 2004  Compañía: Blizzard Entertainment  Consola: PC  Puntuación: 9.1
ID: vg057  Título: StarCraft II  Año: 2010  Compañía: Blizzard Entertainment  Consola: PC  Puntuación: 9.0
ID: vg058  Título: Diablo III  Año: 2012  Compañía: Blizzard Entertainment  Consola: PS3, Xbox 360  Puntuación: 8.7
ID: vg059  Título: Overwatch  Año: 2016  Compañía: Blizzard Entertainment  Consola: PS4, Xbox One  Puntuación: 9.0
ID: vg060  Título: Expedition 33  Año: 2025  Compañía: Sandfall Interactive  Consola: PC  Puntuación: 9.9
ID: vg061  Título: Red Dead Redemption 2  Año: 2018  Compañía: Rockstar Games  Consola: PS4, Xbox One  Puntuación: 9.8
ID: vg062  Título: Grand Theft Auto V  Año: 2013  Compañía: Rockstar Games  Consola: PS4, Xbox One  Puntuación: 9.7
ID: vg063  Título: Hogwarts Legacy  Año: 2023  Compañía: Portkey Games  Consola: PS5, Xbox Series X/S  Puntuación: 8.7
ID: vg064  Título: TrackMania Turbo  Año: 2016  Compañía: Nadeo  Consola: PS4, Xbox One  Puntuación: 8.0
ID: vg065  Título: Star Wars Jedi: Survivor  Año: 2023  Compañía: Respawn Entertainment  Consola: PS5, Xbox Series X/S  Puntuación: 8.5
ID: vg066  Título: Dark Souls Trilogy  Año: 2020  Compañía: FromSoftware  Consola: PS4, Xbox One  Puntuación: 9.0
ID: vg067  Título: Dragon Ball FighterZ  Año: 2018  Compañía: Arc System Works  Consola: PS4, Xbox One  Puntuación: 8.5
ID: vg068  Título: FIFA 23  Año: 2022  Compañía: EA Sports  Consola: PS4, Xbox One  Puntuación: 8.0
ID: vg069  Título: Doom Eternal  Año: 2020  Compañía: id Software  Consola: PS4, Xbox One  Puntuación: 9.0
ID: vg070  Título: Two Point Museum  Año: 2025  Compañía: Two Point Studios  Consola: PC  Puntuación: 8.2
ID: vg071  Título: Pokémon Leyendas ZA  Año: 2025  Compañía: Nintendo  Consola: Switch, Switch 2  Puntuación: 7.5
ID: vg072  Título: Minecraft  Año: 2011  Compañía: Mojang  Consola: PC  Puntuación: 9.0
ID: vg073  Título: EA Sports FC 25  Año: 2024  Compañía: EA Sports  Consola: PS4, Xbox One  Puntuación: 8.5
ID: vg074  Título: Sid Meier's Civilization VII  Año: 2025  Compañía: Firaxis Games  Consola: PC  Puntuación: 9.0
ID: vg075  Título: Farming Simulator 25  Año: 2025  Compañía: Giants Software  Consola: PC  Puntuación: 8.0
ID: vg076  Título: EA Sports FC 24  Año: 2023  Compañía: EA Sports  Consola: PS4, Xbox One  Puntuación: 8.2
ID: vg077  Título: Prince of Persia  Año: 2025  Compañía: Ubisoft  Consola: PC  Puntuación: 7.8
ID: vg078  Título: Like a Dragon: Pirate Yakuza in Hawaii  Año: 2025  Compañía: Sega  Consola: PC  Puntuación: 8.0
ID: vg079  Título: Prince of Persia: Warrior Within  Año: 2025  Compañía: Ubisoft  Consola: PC  Puntuación: 8.1
ID: vg080  Título: Sand Land  Año: 2025  Compañía: Bandai Namco  Consola: PC  Puntuación: 7.9
ID: vg081  Título: RoboCop: Rogue City  Año: 2025  Compañía: Daedalic Entertainment  Consola: PC  Puntuación: 8.3
ID: vg082  Título: Star Wars Jedi: Survivor  Año: 2023  Compañía: Respawn Entertainment  Consola: PS5, Xbox Series X/S  Puntuación: 8.5
ID: vg083  Título: Dark Souls Trilogy  Año: 2020  Compañía: FromSoftware  Consola: PS4, Xbox One  Puntuación: 9.0
ID: vg084  Título: Dragon Ball FighterZ  Año: 2018  Compañía: Arc System Works  Consola: PS4, Xbox One  Puntuación: 8.5
ID: vg085  Título: Kingdom Hearts III Año: 2019  Compañía: Square Enix  Consola: PC, PS4, Xbox One  Puntuación: 9.7
ID: vg086  Título: Doom Eternal  Año: 2020  Compañía: id Software  Consola: PS4, Xbox One  Puntuación: 9.0
ID: vg087  Título: Two Point Museum  Año: 2025  Compañía: Two Point Studios  Consola: PC  Puntuación: 8.2
ID: vg088  Título: Remember me  Año: 2025  Compañía: Capcom  Consola: PC, Xbox360, PS3  Puntuación: 9.8
ID: vg089  Título: Minecraft  Año: 2011  Compañía: Mojang  Consola: PC  Puntuación: 9.0
ID: vg090  Título: EA Sports FC 25  Año: 2024  Compañía: EA Sports  Consola: PS4, Xbox One  Puntuación: 8.5
ID: vg091  Título: Kingdom Come: Deliverance II  Año: 2025  Compañía: Warhorse Studios  Consola: PS5, Xbox Series X/S, PC  Puntuación: 8.8
ID: vg092  Título: Donkey Kong Bananza  Año: 2025  Compañía: Nintendo  Consola: Switch 2  Puntuación: 9.6
ID: vg093  Título: Alan Wake Remastered  Año: 2021  Compañía: Remedy Entertainment  Consola: PS5, Xbox Series X/S, PC  Puntuación: 8.9
ID: vg094  Título: Split Fiction  Año: 2025  Compañía: Kepler Interactive  Consola: PS5, Xbox Series X/S, PC, Switch 2  Puntuación: 9.1
ID: vg095  Título: Death Stranding 2: On the Beach  Año: 2025  Compañía: Kojima Productions  Consola: PS5, PC  Puntuación: 9.0
ID: vg096  Título: Despelote  Año: 2025  Compañía: Unknown  Consola: PC  Puntuación: 8.9
ID: vg097  Título: The Talos Principle: Reawakened  Año: 2025  Compañía: Croteam  Consola: PS5, Xbox Series X/S, PC  Puntuación: 8.9
ID: vg098  Título: Monster Hunter Wilds  Año: 2025  Compañía: Capcom  Consola: PS5, Xbox Series X/S, PC  Puntuación: 8.8
ID: vg099  Título: Kingdom Come: Deliverance II  Año: 2025  Compañía: Warhorse Studios  Consola: PS5, Xbox Series X/S, PC  Puntuación: 8.8
ID: vg100  Título: Sid Meier's Civilization VII  Año: 2025  Compañía: Firaxis Games  Consola: PS4, PS5, Xbox One, Xbox Series X/S, PC, Switch 2  Puntuación: 9.0

